term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
αλλάξετε,...θα σας κάνει να αλλάξετε γνώμη.,en,change,,
αλλεργική,Αλλά εγώ ήμουν αλλεργική στο κοτόπουλο.,en,allergic,,
αλλιώς,...ακολουθεί ο Ιανουάριος ή αλλιώς Γενάρης,en,"otherwise, differently",,
άλλο,Βρήκα τον άλλο μου εαυτό,en,other,,
άλλοι,...και να λεν οι άλλοι,,,,
άλμπουμ,φτιάχνω ένα άλμπουμ,en,album,,
άμεση,να έχεις μια άμεση επικοινωνία με τον ιδιοκτήτη.,en,"direct, immediate",,
αμέσως,"...μας κόκκινο κρασί, έρχεται αμέσως.",en,immediately,,
άν,...έπρεπε να έχει συμβεί άν πήγαινε δυτικά?,en,if,,
ανάστασης,"...Ορθοδοξίας, η μέρα της Ανάστασης.",en,Resurrection,,
ανδρικά,"και ανδρικά ... ανδρικές φορεσιές αυστριακές, νομίζω...",en,men’s,,
ανδρικές,"και ανδρικά ... ανδρικές φορεσιές αυστριακές, νομίζω lederhosen...",en,men's,,
ανέβασα,που την ανέβασα το 2015,en,"(vt) raise, rise, lift, elevate; upload (electronic data to internet); turn up, increase; produce/put on/mount a theater production [ ανεβάζω ]",,
ανέβει,"δεν ξέρω πότε θα ανέβει το βίντεο αυτό, κάποια...",en,climb/risen,,
άνθρωποι,Από πού ήρθαν τόσοι άνθρωποι;,en,People,,
άνθρωπος,α - άνθρωπος,en,non-human,,
ανθρώπους,...να συναντήσει πολλούς φιλικούς ανθρώπους.,en,people,,
ανοιχτός,Ο κορμός του είναι ανοιχτός από την άλλη πλευρά...,en,open,,
αντέχει,η καρδούλα μου αντέχει ευτυχώς!,en,"withstand, put up with",,
αντέχουν,...και θα τρέξω για όσο αντέχουν οι πνεύμονές μου.,en,withstand,,
αντηλιακό,"Αλλά τώρα υπάρχει το αντηλιακό, πολύ σημαντικό.",en,"sunscreen, sun block",,
αντί,Ο Ανδρέας παραγγέλνει πίτσα αντί' αυτού.,en,instead (of),,
αντίθετα,Αντίθετα με μια κανονική ζωντανή...,en,"instead, on the contrary",,
αντίθετο,Το αντίθετο της χαράς,en,opposite,,
αντίουκρανικό,...ότι υπήρχε και ένα αντίουκρανικό κλίμα.,en,anti-Ukrainian,,
ανώμαλα,τα ανώμαλα ρήματα και τα ρήματα...,en,"abnormally, irregular",,
απαντήσεις,...ή απλά άκουσε τις απαντήσεις.,en,Answers,,
απαντήσετε,"Μην ξεχάσετε να απαντήσετε στην ερώτηση,",en,"you all answer, reply (Απαντάω)",,
απαντήσω,...βοηθήσω; Δεν μπορώ να απαντήσω όλες τις ερωτήσεις σας.,en,reply,,
απαντώντας,...περάσω όλη τη μέρα απαντώντας στις ερωτήσεις σας.,en,replying,,
απασχολημένη,Γ: Ήμουν απασχολημένη.,en,busy,,
απέναντι,"...Α, εννοείτε το κτίριο απέναντι από το σταθμό του...",en,"opposite, across",,
απλά,Απάντησε τες ή απλά άκουσε τις απαντήσεις.,en,"simply, plainly",,
απλό,"Λοιπόν, πότε χρησιμοποιούμε τον Απλό Μέλλοντα;",en,Simple,,
απλώς,Γ: Απλώς πηγαίνετε ευθεία.,en,"simply, just, solely, merely",,
από,Οι πελάτες είναι από πολλές χώρες.,en,from,,
απ'όλα,...κυπριακή πίτα μπιφτέκι γεμιστό απ'όλα και τυροκαυτερή,en,from all,,
απολαμβάνω,...ήταν που άρχισα να απολαμβάνω τη γλώσσα.,en,enjoy,,
αποτέλεσμα,Για να έχουμε αποτέλεσμα,en,result  	 	outcome  	 	effect,,
αποφάσεις,Σήμερα παίρνουμε μεγάλες αποφάσεις. Έλα!,en,decisions,,
απόφαση,...ότι παίρνω μία μεγάλη απόφαση για τη ζωή μου,en,decision,,
αποφασίζει,"Αποφασίζει να μελετήσει, να εξοικονομήσει...",en,he/ she/ it decides,,
αποφασίζουν,"Έτσι, αποφασίζουν να αθληθούν στο σπίτι.",en,They decide,,
αποφασίζω,"Αποφασίζω να μελετήσω, να εξοικονομήσω...",,,,
αποφασίσεις,...ότι θα πρέπει να αποφασίσεις αν θες περισσότερες ευθύνες...,en,decide,,
αποφασίσουμε,όπου προσπαθούμε να αποφασίσουμε πού θα πάμε.,en,(we) decide,,
αποφασίσω,Πρέπει να αποφασίσω τι θέλω πραγματικά στη ζωή μου.,en,decide,,
αράχνης,"Ο Μύθος της Αράχνης Κάποτε, σε ένα μικρό...",en,spider,,
αργότερα,Γ: Μπορούμε να πάμε αργότερα.,en,Later,,
αργώ,Αυτό σημαίνει ότι συνέχεια αργώ.,en,be late,,
αρετή,Η Αρετή ντύνεται το πρωί.,en,Ashley,,
άρθρο,Υπάρχει πάντα το οριστικό άρθρο πριν από το ουσιαστικό,en,article,,
αριθμούς,...θέλουμε να προσθέσουμε δύο αριθμούς.,en,numbers,,
αρκετά,"Α: Ναι, είναι αρκετά ακριβό.",en,"enough, quite, well, considerably",,
αρκετό,...Αυτό το μπαρ έχει αρκετό κόσμο.,en,"enough, quite, well, considerably",,
αρμονία,...αριθμός και μυαλό και αρμονία.,en,harmony,,
άρτος,Άρτος σημαίνει ψωμί,en,bread,,
αρχαία,"Στην αρχαία Ελλάδα, επίσης, η ημέρα...",en,ancient,,
αρχαίο,...ένας Έλληνας βλέπει ένα αρχαίο ελληνικό κείμενο,en,ancient,,
αρχαίους,από πολύ γνωστούς αρχαίους Έλληνες,en,ancient,,
αρχή,Στην αρχή δεν καταλαβαίνετε.,en,"authority, start, principle, beginning, origin",,
αρχικά,"Αρχικά, Γιάννη,",en,initially,,
ας,Ας ακούσουμε τώρα το Μιχάλη...,en,let's,,
άσπρα,...τώρα νομίζω ότι είναι άσπρα.,en,white,,
αστείο,Το αστείο είναι ότι είμαι και...,en,"witty, clever, funny",,
αστυνομία,...γυναίκα που δουλεύει στην αστυνομία. Ωραία! Πάρα πολύ καλά...,en,Police,,
ασχολία,Θέλει μια νέα ασχολία.,,,,
ατάκα,...να δούμε την πρώτη ατάκα!!,en,"line, memorable phrase",,
αυγού,"και φτιάχνεται με ασπράδι αυγού, ζάχαρη και ξηρούς καρπούς.",en,egg,,
αυγούστου,"τέλη Αυγούστου με αρχές Σεπτεμβρίου,",en,August,,
αυτοκίνητό,...δουλειά του με το αυτοκίνητό του.,en,car,,
αφηγείται,Στο γράμμα αυτό αφηγείται τη ζωή του,en,tells,,
αφού,Αφού μιλήσετε με έναν δάσκαλο...,en,"since, as, because, when",,
αχίλλειος,"η αχίλλειος πτέρνα""",en,Achilles,,
αχλάδι,το αχλάδι / τα αχλάδια,en,pear,,
βαλένσια,"...έχω δει και στη Βαλένσια όταν πήγα, οπότε μάλλον...",en,Valencia,,
βασικά,που βασικά ήρθες από το δωμάτιό...,en,basically,,
βασική,με τη βασική εκπαίδευση,en,"basic, main",,
βγάζει,"Η φράση αυτή δε βγάζει νόημα,",en,takes out,,
βγάζω,"...χρήματα από αυτά που βγάζω τώρα, δε θα ήθελα...",en,"I take off, throw out, remove, extract",,
βγάλω,Και επρόκειτο να βγάλω πολλές φωτογραφίες εκεί.,en,"get, get off, take out, remove, doff, jab out",,
βγήκαν,Μόλις βγήκαν τ' αποτελέσματα,en,came out,,
βέβαια,"Α: Βέβαια, θα πάρω μια μπίρα.",en,"Of course, naturally, certainly",,
βενιζέλος,"ο Ελευθέριος Βενιζέλος, το 1934.",en,Venizelos,,
βιβλιοπωλείο,Αυτό είναι ένα βιβλιοπωλείο.,en,Bookstore,,
βοηθάμε,Βοηθάμε η μία την άλλη...,en,we help,,
βοηθάτε,Γ: Δε με βοηθάτε πολύ.,en,help,,
βοήθειά,Αλήθεια χρειάζομαι τη βοήθειά σας.,en,help,,
βόλτα,Χθες πήγα βόλτα με δυο φίλες μου.,en,"walk, stroll, ride, outing",,
βούτυρο,"...φτιάχνεται από αυγά , γάλα, βούτυρο , αλεύρι",en,butter,,
βράδυ,...να διαβάσετε λίγο το βράδυ.,en,night,,
βράχο,Εδώ είμαι πάνω στον βράχο,en,"cliff, rock",,
βρήκα,Βρήκα τον άλλο μου εαυτό,en,I found,,
βρίσκεται,Που βρίσκεται κοντά μας,en,located,,
γαλλία,Θέλει να πάει στην Γαλλία.,en,France,,
γειτονιάς,και τα σουβλατζίδικα της γειτονιάς μας,en,of neighborhood (from μια γειτονιά),,
γένη,ταιριάζει και στα τρία γένη,en,genders,,
γενικά,"και γενικά,",en,"generally, overall",,
γενικότερα,Γενικότερα όταν χρησιμοποιούμε το ρήμα...,en,Generally,,
γενικώς,...είπε ότι ‘'Η αστρονομία γενικώς μου αρέσει πάρα πολύ...,en,generally,,
γεννήθηκα,"Α, όχι, δε γεννήθηκα στην Ουκρανία, απλά η...",en,I was born,,
για την ακρίβεια,Για την ακρίβεια αυτά είναι όχι μόνο...,en,"actually, as a matter of fact",,
γιατρό,Αποφασίζει να πάει στον γιατρό.,en,doctor,,
γιατρός,...αδερφός του Φίλιππου ήταν γιατρός.,en,doctor,,
γίγαντες,...μεγάλα και τα λέμε γίγαντες. Γιατί πραγματικά είναι γίγαντες.,en,giants,,
γίνει,Η γαλάζια λέξη έχει γίνει πλέον κίτρινη.,en,become,,
γίνεται,Α: Τι γίνεται αν καλέσεις φίλους στο...,en,becomes,,
γινόμαστε,"...τα τραπέζια, στο τέλος, γινόμαστε μία μεγάλη παρέα.",en,we become,,
γιόγκα,"...μου για γυμναστική, για γιόγκα, για τρέξιμο, και όλα...",en,yoga,,
γιορτάζει,δηλαδή όταν κάποιος γιορτάζει το όνομά του.,en,celebrates,,
γιορτάζεται,και σήμερα γιορτάζεται σε πολλά μέρη του...,en,celebrated,,
γιορτάζετε,και αν γιορτάζετε το καρναβάλι στη χώρα...,en,celebrating,,
γιορτές,...άνθρωποι κάνουν δώρα σε γιορτές,en,celebrations,,
γιώργος,Ο Γιώργος έγραψε ένα γράμμα στην...,en,George,,
γκαράζ,...αυτό κοιμούνται δίπλα στο γκαράζ.,en,garage,,
γκλίτερ,,en,glitter,,
γλώσσες,Αυτοί μιλούν πολλές διαφορετικές γλώσσες.,en,languages,,
γνωρίζει,Μερικές φορές δε γνωρίζει πολλά για τη φύση...,en,knows,,
γνωρίζετε,...τις νέες λέξεις τις γνωρίζετε ήδη.,en,You know,,
γνωρίζοντας,Γνωρίζοντας ανθρώπους,en,Knowing,,
γνωρίζουν,αν γνωρίζουν την σημασία τους,en,they know,,
γνωριμία,Χάρηκα για τη γνωριμία.,en,"meet, acquaintance, contact",,
γνώρισα,Την μία την γνώρισα όταν μου την σύστησε...,en,"I met, knew, recognized",,
γνώρισες,...πρώτη φορά που τον γνώρισες .,en,you meet,,
γνωρίσω,...να ταξιδέψω και να γνωρίσω ανθρώπους από άλλες χώρες.,en,meet,,
γνωστά,γνωστά και ως γηρατειά.,en,known/usual,,
γνωστή,Η πιο γνωστή είναι τα χρόνια πολλά.,en,known,,
γνωστό,...για να γίνει πιο γνωστό το μέρος,en,known,,
γνωστός,Ένας πολύ γνωστός Έλληνας ποιητής είναι ο...,en,known,,
γραφείο,...Γιάννης δουλεύει σε ένα γραφείο.,en,office,,
γράφτηκε,"...χίμαιρα'' του Καραγάτση , που γράφτηκε το 1953",en,was written,,
γράψετε,"...έτοιμοι, θα πρέπει να γράψετε.",en,write,,
γράψιμο,...το διάβασμα και το γράψιμο.,en,writing,,
γρηγορότερα,...απαντάω όσο το δυνατόν γρηγορότερα.,en,"sooner, earlier, faster",,
γύρω,...Συνήθως οδηγώ μέχρι τα γύρω βουνά.,en,around,,
δείπνο,...ώρα να πάμε για δείπνο.,en,dinner,,
δείτε,Δείτε τη σημασία των νέων...,en,you all see,,
δείχνετε,Μου δείχνετε ότι εκτιμάτε αυτά που...,en,You look,en,"(you) look, show"
δεκέμβριο,...χειμώνας ξεκινάει με τον Δεκέμβριο ή Δεκέμβρη.,en,December,,
δεξιά,"Γ: Εκεί, στα δεξιά, δίπλα από το μεγάλο...",en,right,,
δέσποινες,"...Ελλάδα!! Οι Μαρίες , οι Δέσποινες, οι Παναγιώτες, και από...",en,misses,,
δηλαδή,Τι φοράνε δηλαδή οι στρατιώτες στην αεροπορία;,en,"that is to say, namely, that is, to wit",,
διαβάζουν,και διαβάζουν την ίδια εφημερίδα.,en,read,,
διάβασμα,Στην Κλαίρη αρέσει το διάβασμα και το γράψιμο.,en,reading,,
διαδίκτυο,Βλέπει φωτογραφίες διαμερισμάτων στο διαδίκτυο.,en,Internet,,
διακοπές,...ενθουσιασμένος με τις χειμερινές διακοπές.,en,Vacation,,
διάλογο,...κάνουμε μαζί έναν αληθινό διάλογο.,en,dialogue,,
διάλογος,ο διάλογος,en,The dialogue,,
διαμέρισμα,Το διαμέρισμα του Βασίλη είναι πολύ...,en,apartment,,
διαφορετικά,Υπάρχουν τρία διαφορετικά σώματα αν δεν κάνω...,en,"differently, otherwise, besides",,
διαφορετικές,Αυτοί μιλούν πολλές διαφορετικές γλώσσες.,en,different,,
διαφορετική,ενώ τελικά έχουν τελείως διαφορετική σημασία ;,en,different,,
διαφορετικό,θα κάνουμε κάτι λιγάκι διαφορετικό.,en,different,,
διαφορετικούς,"τις διαφορετικές μορφές, τους διαφορετικούς τύπους",en,"(adj) different, dissimilar, unlike, diverse, unique",,
διηγείται,Άκουσε τη Μάρα να διηγείται την ιστορία.,en,recounts,,
δικαιολογία,"και πάντα βρίσκω μια δικαιολογία, να πω κάτι για...",en,"justification,excuse",,
δικηγόρος,...πράγματα; Δεν είστε δα δικηγόρος.,en,lawyer,,
δίκιο,Ξέρω ότι έχω δίκιο.,en,right,,
δοκιμάζει,"Πρώτα, δοκιμάζει να μαγειρέψει.",en,"experiences, tries out",,
δοκίμασα,Δοκίμασα μερικά καινούρια κοστούμια.,en,I tried,,
δουλειά,Πηγαίνει στην δουλειά του με το αυτοκίνητό...,en,"job, work",,
δουλειές,...μου απολαμβάνει να κάνει δουλειές στον κήπο.,en,"jobs, housework",,
δουλεύω,Δουλεύω σε ένα γραφείο.,en,I work,,
δούλεψε,"...Λοιπόν, υποθέτω ότι πραγματικά δούλεψε για σένα.",en,worked,,
δουλέψει,Δεν πρέπει να δουλέψει για δύο εβδομάδες.,en,worked,,
δούμε,Ας δούμε τις δεικτικές αντωνυμίες,en,we look,,
δουν,...φίλοι σας μπορούν να δουν τι κάνετε.,en,they see,,
δρόμο,Ο δήμος φτιάχνει το δρόμο εκεί.,en,"street, way",,
δυνατά,Κάθε βράδυ έχουν πολύ δυνατά τη μουσική,en,"hard, strongly;",,
δυνατή,...Αιμιλία δεν είναι πολύ δυνατή.,en,strong,,
δύσκολα,Τα μαθήματα είναι δύσκολα στην κατανόηση,en,hard,,
δύσκολο,...που δεν είναι πολύ δύσκολο για εσάς.,en,difficult,,
δώρο,Πρέπει να αγοράσει δώρο για την Μάδγα.,en,"present, gift",,
δώσω,Θα σας δώσω μερικά επιπλέον παραδείγματα και...,en,I give,,
εαν,Εαν πιστεύετε,en,"(conditiona particle) in case, provided, if",,
εάν,"Εάν έχετε ερωτήσεις, μπορείτε να...",en,if,,
εαυτό,Βρήκα τον άλλο μου εαυτό,en,self (εαυτός),,
εβδομάδες,...να δουλέψει για δύο εβδομάδες.,en,weeks,,
έβρεχε,...τη νύχτα και ότι έβρεχε.,en,rained,,
εγγραφή,να κάνετε εγγραφή στο κανάλι μου.,en,"registration, subscription, recording",,
έγινε,...σήμερα δεν ξέρω τι έγινε,en,"became, happened",,
εγώ,Εγώ θα σ' αγαπώ,en,I,,
έδωσα,"...πήρα στο σπίτι, του έδωσα αγάπη, του έδωσα νερό,",en,I gave,,
ειδικά,"Όταν, δε ειδικά πρέπει να μιλήσεις,",en,"especially, specifically",,
είδους,Α: Τι είδους φαγητά σου αρέσει να...,en,"kind, sort",,
εικονογραφήσεις,Υπάρχουν εικονογραφήσεις για κάθε τύπο φυτού...,en,illustrations,,
είναι,"...γνωρίζει τον Παύλος, αλλά είναι φίλος ενός φίλου.",en,He/She/It is,,
είπαν,"Επίσης, μας είπαν",en,"they told, said",,
εισιτήριο,Το αεροπορικό εισιτήριο κοστίζει πολύ.,en,ticket,,
είτε,Είτε πάω να τους βρω...,en,"either, whether",,
είχαν,Γ: Πάντα είχαν μια δραστήρια ζωή.,en,they had,,
έκανες,Συνεχίζεις να αναρωτιέσαι αν έκανες καλή δουλειά.,en,you did,,
εκείνες,"Εκείνοι, εκείνες, εκείνα",en,those,,
εκείνη,Όμως εκείνη τον περίμενε υπομονετικά.,en,that,,
εκείνο,"Εκείνος, εκείνη, εκείνο",en,that,,
έκοβε,έκοβε τα γραμματόσημα και μου...,en,cut,,
εκτός,"Εκτός από χαρά, λύπη, ή...",en,"except, beside, but, excepting",,
εκφράζουν,"δεν εκφράζουν με ακρίβεια,",en,"express, convey, reflect",,
εκφράσεις,μερικές εκφράσεις από την αρχαία εποχή,en,expressions,,
έκφραση,συνήθως λέμε την έκφραση:,en,expression,,
εκφράσουμε,και για να εκφράσουμε κάποια υποχρέωση.,en,express,,
εκφράσουν,Επίσης όταν θέλουν να εκφράσουν την αγάπη τους,en,express,,
έλεγα,Θα έλεγα μέχρι και πως είναι...,en,I WOULD say,,
έλεγε,...το φυλλάδιο της πεζοπορίας έλεγε ότι δεν θα υπήρχε...,en,said,,
ελεύθερο,Έχει ο Δημήτρης ελεύθερο χρόνο τον χειμώνα?,en,free,,
ελληνικούς,και να ενεργοποιήσετε ελληνικούς ή αγγλικούς υπότιτλους.,en,Greek,,
ελληνικών,...να της κάνω μαθήματα Ελληνικών.,en,Greek,,
ελλήνων,...το εθνικό φαγητό των Ελλήνων είναι η φασολάδα,en,Greeks,,
ελπίζει,Ελπίζει ότι το περιδέραιο θα...,en,hopes,,
ελπίζω,Ελπίζω ότι το περιδέραιο θα...,en,I hope,,
εμένα,Εμένα μου αρέσουν τα αγγλικά...,en,me,,
έμπειρη,...που είμαι πάρα πολύ έμπειρη ταξιδιώτρια και backpacker και...,en,experienced,,
εμπειρία,...για αυτή του την εμπειρία.,en,experience,,
εμπειρίας,...μόνο εκείνης της *μίας* εμπειρίας που είχα με φυτά...,en,experience,,
ενδιαφέροντά,"μιλήσαμε για τα ενδιαφέροντά μας ,",en,interests,,
ενεργοποιήσετε,και να ενεργοποιήσετε ελληνικούς ή αγγλικούς υπότιτλους.,en,enable,,
ενθουσιάζομαι,μερικές φορές ενθουσιάζομαι πάρα πολύ στην ιδέα...,en,enthuse,,
ενθουσιασμένος,Ο Δημήτρης είναι ενθουσιασμένος με τις χειμερινές διακοπές.,en,"excited, enthusiastic",,
ενικό,Στον ενικό και πληθυντικό αριθμό,en,singular,,
ένιωθα,γιατί ένιωθα πως χωρίς τη λίστα...,en,I felt,,
εννοείς,Γ: Εννοείς ότι το σύστημα LingQ...,en,You mean,,
εννοείται,"Κι εννοείται φασόλια , γιατί το εθνικό...",en,of course,,
έννοια,...μπορεί να έχει την έννοια του υποστηρίζω.,en,meaning,,
έννοιες,...οι ηθοποιοί χρησιμοποιούν δύσκολες έννοιες,en,Meanings,,
εννοώ,Γ: Εννοώ ότι ήσασταν έτοιμος να...,en,I mean,,
εντελώς,ή είχαν εξαντληθεί εντελώς.,en,entirely/completely,,
ενώ,"Ενώ το ""εκείνος, εκείνη, εκείνο""",en,while,,
εξαιτίας,Δεν είναι εξαιτίας αυτού του κοριτσιού που...,en,because of,,
έξι,Ο Μιχάλης σηκώνεται στις έξι κάθε πρωί.,en,six,,
εξοικονομήσει,"Αποφασίζει να μελετήσει, να εξοικονομήσει χρήματα, ή να μείνει...",en,save,,
έξω,Τα βραδιά έξω ξενυχτάς,en,out,,
εξωτερική,μιλώντας για την εξωτερική εμφάνιση.,en,"outdoor, external, foreign",,
επαναλαμβάνω,να επαναλαμβάνω συχνά στα βίντεό μου.,en,repeat,,
επειδή,"...είναι τώρα πολύ ευτυχισμένη, επειδή έχει μια γάτα.",en,"because, since, for, as, seeing that",,
επεισόδια,Σειρές που έχουν μικρά επεισόδια και χρησιμοποιούν εύκολο λεξιλόγιο.,en,Episodes,,
επέλεξα,Εγώ επέλεξα το πρώτο.,en,I chose,,
έπεσε,...μάτι μου - εντελώς τυχαία - έπεσε στο ράφι με τα...,en,fell,,
έπεφτε,"...βράδυ, την ώρα που έπεφτε ο ήλιος",en,fall,,
επικίνδυνο,Ο κυκλώνας είναι ένα επικίνδυνο,en,dangerous,,
επιλέγουν,Πολλοί τουρίστες επιλέγουν την Ελλάδα,en,choose,,
επίσης,Η κόρη μου επίσης έχει πολλούς φίλους.,en,"also, too, likewise",,
επιστήμες,...τα μαθηματικά και οι επιστήμες.,en,sciences,,
επιστρέφω,Επιστρέφω στη φίλη μου την...,en,I return,,
επιτάφιος,...την Περιφορά του Επιταφίου. Επιτάφιος είναι ο τάφος του...,en,"epitaph, gravestones",,
επόμενη,...να δοκιμάσουν ξανά την επόμενη εβδομάδα.,en,next,,
επόμενο,...μπορεί να μετακομίσει τον επόμενο χρόνο.,en,next,,
εποχή,"εποχή του χρόνου,",en,season,,
επρόκειτο,Έτσι αυτή την φορά επρόκειτο να πάω στον Καναδά.,en,"was supposed, was going to",,
εργασίας,και μία βεβαίωση εργασίας για να δείξουμε πού...,en,"working, labor",,
έρθω,Μου ζήτησε να έρθω για δείπνο πρόσφατα.,en,come,,
έρχεσαι,Γιατί δεν έρχεσαι μαζί μου;,en,you come/are coming,,
έρχεται,"...δικό μας κόκκινο κρασί, έρχεται αμέσως.",en,comes,,
έρχονται,είμαι πολύ χαρούμενη που έρχονται τα Χριστούγεννα.,en,come,,
ερωτευμένους,τους βαριά ερωτευμένους.,en,in love,,
ερωτεύτηκα,"...φούστα, τη δοκίμασα την ερωτεύτηκα, και τώρα όποτε πηγαίνω...",en,I fell in love,,
ερωτήσεις,,en,questions,,
έστειλαν,με έστειλαν στο αεροδρόμιο του Αράξου,en,sent,,
εστιατόριο,...είναι μάγειρας σε ένα εστιατόριο.,en,restaurant,,
έτρωγε,"Ενώ ο κοντός έτρωγε λίγο,",en,eating,,
ευκαιρία,...είναι μία πολύ καλή ευκαιρία,en,opportunity,,
εύκολα,...μαθήματα θα είναι πιο εύκολα.,en,easily,,
εύκολο,...ένα μάθημα που είναι εύκολο για εσάς.,en,Easy,,
ευτυχισμένος,Ο Μιχάλης είναι ευτυχισμένος όταν μιλάει στους πελάτες.,en,happy,,
ευχηθούν,...παίρνουν τηλέφωνο να σου ευχηθούν ‘'χρόνια πολλά'',en,wish you,,
έφευγα,ήταν η μέρα που έφευγα από τη Πάργα.,en,I was leaving,,
έφτανα,"Όταν επιτέλους έφτανα αργοπορημένη στο ραντεβού μου,",en,I arrived,,
έφτανε,Και σαν να μην έφτανε αυτό μπορεί να τη...,en,reached; it was enough,,
έφτασε,"Τελικά, μόλις έφτασε",en,arrived,,
έφυγαν,"Μου έφυγαν κάποια μικρά σημεία, εδώ.",en,They left,,
έψαξαν,Έψαξαν σε πολλά καταστήματα στην...,en,they searched,,
έψαχνε,"...φορά που έφευγε, πρώτα έψαχνε για το μαγιό του.",en,was looking for,,
ζαχαροπλαστείο,και τα προφιτερόλ στο ζαχαροπλαστείο.,en,confectionery,,
ζήσεις,Φυσικά: ‘'Χρόνια πολλά'' Να ζήσεις! Να χαίρεσαι τη γιορτή...,en,live,,
ζητήσει,...η δασκάλα σας σας ζητήσει,en,ask,,
ζητήσεις,μπορείς να ζητήσεις το τηλέφωνό του,en,ask,,
ζητήσετε,Μπορείτε ακόμη και να ζητήσετε από έναν δάσκαλο να...,en,ask,,
ζητήσω,...Δεν μπορώ να τον ζητήσω.,en,ask,,
ζούσε,"...σε ένα μικρό χωριό, ζούσε μια κοπέλα. Την έλεγαν...",en,She lived,,
ζωή,...γράμμα αυτό αφηγείται τη ζωή του,en,life,,
ζωντανή,"Αντίθετα με μια κανονική ζωντανή συνομιλία,",en,"lively, live, alive",,
η,Η δουλειά του ξεκινάει στις...,en,the,,
ήδη,...για το οποίο έχουμε ήδη μιλήσει,en,already,,
ηλεκτρονική,Α: Ίσως έχασε την ηλεκτρονική σας διεύθυνση.,en,electronics,,
ηλεκτρονικό,"...ακριβώς και σε ένα ηλεκτρονικό παιχνίδι,",en,electronic,,
ήλθατε,Και καλώς ήλθατε και πάλι στο κανάλι...,en,Welcome,,
ηλιόλουστη,"...βλέπετε, είναι μια υπέροχη, ηλιόλουστη Κυριακή,",en,sunny,,
ηλιόλουστος,...καιρός ήταν καλός και ηλιόλουστος.,en,sunny,,
ημερομηνία,"Τώρα, όσα δεν έγραφαν ημερομηνία,",en,"date, ""day of the month""",,
ήπιε,Ο γιος της ήπιε χυμό πορτοκαλιού αντί αυτού.,en,he/ she/ it drank (Πίνω),,
